BHID,FROM,TO,AU,CU,DENSITY
VB2812,213.71749878,215.71749878,0.47999999,0.60000002,-
VB2812,215.71749878,217.71749878,0.75,0.80000001,-
VB2812,217.71749878,219.71749878,0.88,0.89999998,-
VB2812,219.71749878,221.71749878,0.98000002,1,-
VB2812,221.71749878,223.71749878,1.24000001,1.20000005,4.19000006
VB2812,223.71749878,225.71749878,0.1,-,-
VB2812,225.71749878,227.71749878,0.25999999,0.40000001,2.82999992
VB2812,227.71749878,229.71749878,0.13,-,-
VB2812,229.71749878,231.71749878,0.1,-,-
VB2812,231.71749878,233.71749878,0.19,0.40000001,2.83999991
VB2812,253.71749878,255.71749878,0.15000001,-,-
VB2812,255.71749878,257.71749878,0.41999999,0.60000002,3.07999992
VB2812,265.71749878,267.71749878,0.04,-,-
VB2812,279.51748657,281.71749878,0.02,-,-
VB2812,281.71749878,283.71749878,0.34999999,0.5,2.98000002
VB2812,283.71749878,285.71749878,0.41,0.60000002,3.74000001
VB2812,285.71749878,294.11749268,-,-,3.24000001
VB2813,150.94119263,235.74119568,-,-,2.71000004
VB2813,236.34120178,238.94119263,5.94999981,4,3.52999997
VB2813,238.94119263,240.94119263,6.86000013,4.69999981,3.67000008
VB2813,240.94119263,242.94119263,2.0999999,1.60000002,-
VB2813,242.94119263,244.94119263,6.44000006,4.5999999,3.61999989
VB2813,244.94119263,246.94119263,3.8499999,2.9000001,3.16000009
VB2813,246.94119263,248.94119263,4.05999994,3.0999999,3.23000002
VB2813,248.94119263,250.94119263,6.09000015,4.5999999,3.66199994
VB2813,252.94119263,254.94119263,0.44999999,0.60000002,3.07999992
VB2813,254.94119263,256.94119263,0.08,-,-
VB2813,256.94119263,258.94119263,0.47,0.60000002,3.07999992
VB2813,258.94119263,260.94119263,0.92000002,0.89999998,3.67000008
VB2813,260.94119263,262.94119263,0.57999998,0.69999999,3.23000002
VB2813,262.94119263,264.94119263,0.69,0.80000001,3.45000005
VB2813,264.94119263,266.94119263,1.00999999,1,3.86999989
VB2813,266.94119263,268.94119263,0.72000003,0.80000001,3.45000005
VB2813,268.94119263,270.94119263,1.03999996,1.10000002,4.05999994
VB2813,270.94119263,272.94119263,0.80000001,0.89999998,3.67000008
VB2813,272.94119263,274.94119263,0.99000001,1.10000002,4.05999994
VB2813,274.94119263,276.94119263,1.19000006,1.29999995,4.26000023
VB2813,276.94119263,279.04119873,0.89999998,1,3.88000011
VB2813,279.04119873,402.74121094,-,-,3.24000001
VB2832,111.93090057,190.28089905,-,-,2.72000003
VB2832,190.28089905,191.88090515,11.61999989,7.0999999,3.77999997
